0	(-0.07739167696590295, -0.08743066453713884, 0.02)	0.0
1	(-0.07739232277187162, -0.08743030289370313, 0.019989529573084405)	0.0702732460767665
2	(-0.07739244391127748, -0.08742986474073408, 0.019989434805092916)	0.07881740091881269
3	(-0.07739214321241226, -0.08742946825432876, 0.019989607592395785)	0.07985624774640204
4	(-0.07739182501641288, -0.08742946705470417, 0.019989925242154538)	0.07777500221127498
5	(-0.0689991589122431, -0.07031305886149823, 0.019772832380030803)	0.0326973922087255
6	(-0.045412126048470926, -0.03798953460895838, 0.019493020189213887)	0.032548834827164516
7	(-0.013631366080340719, -0.0062690361017116005, 0.019786988741052138)	0.035933266866793545
8	(0.015640147259342797, 0.031221143639964595, 0.01981648271787593)	0.038446172374272336
9	(0.03947441041306956, 0.07223101751168583, 0.020818330201636384)	0.03984448142512945
10	(0.06055243417351347, 0.105433446022186, 0.02184052804561579)	0.04015969611167025
11	(0.06772265430581091, 0.11998887810583565, 0.019967095778139453)	0.0402807472314752
12	(0.06917326630018165, 0.12004516603403277, 0.019954065341242264)	0.040695389977511084
13	(0.06984762300994747, 0.12008146679362142, 0.019964382878814906)	0.040774296011780384
14	(0.0702008333507649, 0.12009473253651459, 0.019960256354639657)	0.040914380837451414
15	(0.07038786411904352, 0.1203709133059532, 0.019943087699175945)	0.04100510137640999
16	(0.07057526618344215, 0.121310429978206, 0.019949304608113626)	0.04108856161402809
17	(0.07067456022592697, 0.12231526751384039, 0.0199557204071631)	0.04110840203282595
18	(0.07072361030665757, 0.12305771966208477, 0.019956803652820636)	0.04108853891027259
19	(0.07074740920890957, 0.12348902082993914, 0.01995925772909659)	0.041064536054891285
20	(0.07074868664048255, 0.12373107315052603, 0.01995942925833064)	0.041060128331705276
21	(0.0707381337939225, 0.12389789018221188, 0.019957173278351757)	0.04107537203972436
22	(0.07073319504869018, 0.12404188843335039, 0.01995757015577267)	0.04112868848548948
23	(0.070723091867922, 0.12416498299820365, 0.01995555681856242)	0.0412485336234136
24	(0.07071006971179744, 0.12427677617698024, 0.01995587902309271)	0.04138391131114377
25	(0.07066172144348928, 0.12440026479478737, 0.019957536612399466)	0.041515428440317
26	(0.07059766403899821, 0.124641694042086, 0.019960206005005303)	0.04134750542717171
27	(0.07055597534026682, 0.12474913327101757, 0.019961387764001224)	0.04133202871021433
28	(0.07052538503023843, 0.12488088083398445, 0.019961159791396975)	0.041338516834483766
29	(0.07046686265731641, 0.1249611184210192, 0.01996031235125106)	0.041283731270540976
30	(0.07043781051852, 0.12502628516755585, 0.019964172981528)	0.041268766434174375
31	(0.07041153522023451, 0.12503650407480932, 0.019961960533105814)	0.041193577473570234
32	(0.07039033567057408, 0.12509822248773209, 0.01995817791342494)	0.04126001649904884
33	(0.07036975070746683, 0.1251260220864079, 0.01996031491442887)	0.04119888525948799
34	(0.07036633873772288, 0.12513509942849557, 0.01996140971135667)	0.04119914725335444
35	(0.07036463680780611, 0.1251449952843337, 0.019962692027395278)	0.041199130314046234
36	(0.07036391007372265, 0.1251483796444031, 0.019963598342849168)	0.04119912034650075
37	(0.07036366263763907, 0.1251495959245088, 0.01996379532377441)	0.04119910959551415
38	(0.07036356715374115, 0.12515009852291814, 0.01996383209245312)	0.04119910294729945
39	(0.07036354862775009, 0.12515033478362325, 0.0199638276164606)	0.04119909997462495
40	(0.0703635413717768, 0.12515039214774157, 0.019963824337158244)	0.041199098685900507
41	(0.07036354070639772, 0.12515035175188335, 0.019963823528875674)	0.04119909880996854
42	(0.07036353857724982, 0.12515023181305043, 0.019963825702456688)	0.04119909940088842
43	(0.07036353916379512, 0.1251500776085743, 0.019963826838662043)	0.04119910034333487
44	(0.07036353965337311, 0.1251499099569547, 0.019963829380625058)	0.04119910154981269
45	(0.07036353835463982, 0.12514973480279698, 0.01996383225583526)	0.04119910275976853
46	(0.07036354046012576, 0.1251495548968479, 0.019963834178161572)	0.0411991040613274
47	(0.07036353879497718, 0.1251493783353053, 0.01996383746413782)	0.041199105369283576
48	(0.07036353937569381, 0.1251491950281446, 0.01996383950979057)	0.04119910660953577
49	(0.07036354128450552, 0.12514902390976732, 0.019963840191165788)	0.04119910786764518
